The value of exports by month (FOB/CIF) 2011-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2011M01;2011M02;2011M03;2011M04;2011M05;2011M06;2011M07;2011M08;2011M09;2011M10;2011M11;2011M12;2012M01;2012M02;2012M03;2012M04;2012M05;2012M06;2012M07;2012M08;2012M09;2012M10;2012M11;2012M12;2013M01;2013M02;2013M03;2013M04;2013M05;2013M06;2013M07;2013M08;2013M09;2013M10;2013M11;2013M12;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2022M01;2022M02;2022M03;2022M04;2022M05;2022M06;2022M07;2022M08;2022M09;2022M10;2022M11;2022M12;2023M01;2023M02;2023M03;2023M04;2023M05;2023M06;2023M07;2023M08;2023M09;2023M10;2023M11;2023M12;2024M01;2024M02;2024M03;2024M04;2024M05;2024M06;2024M07;2024M08;2024M09;2024M10;2024M11;2024M12;2025M01;2025M02;2025M03;2025M04;2025M05;2025M06;2025M07
Exports fob, total;42196,00;42722,20;59145,60;40256,50;55546,70;51745,00;51467,30;54890,60;62467,60;52696,80;53437,80;53684,20;47571,70;54292,60;55371,40;49380,70;55480,80;52379,10;47338,80;52738,00;55342,50;63130,40;54803,10;45337,60;56319,50;49826,30;50918,60;51591,00;43573,80;44594,80;55548,30;47468,00;55300,50;54997,30;55207,20;45688,40;48645,30;43277,80;45411,80;37764,30;53258,30;43554,50;55860,60;48624,70;55483,60;62190,60;51475,20;49034,70;50490,00;51436,60;63781,70;57001,70;55321,90;56271,30;52334,80;47920,30;48172,40;47777,30;52049,50;48502,90;46135,00;43101,30;44326,70;47335,20;46942,60;48421,00;44204,20;42449,70;49607,80;50703,00;41998,20;42093,70;38050,90;33687,00;40435,00;41649,80;49136,40;45068,50;39072,20;46296,40;47760,40;56719,30;46140,90;43446,00;49252,20;46970,90;46424,70;44536,90;52747,60;50654,20;50849,80;49696,90;51005,50;62152,40;54994,00;53548,30;77091,50;45108,20;53051,60;50350,80;63720,20;45995,00;51931,70;46386,70;51769,20;65414,70;52605,60;43370,00;47088,50;46152,50;56763,10;47368,40;53296,00;46898,90;46977,70;47903,90;64911,20;62980,40;51614,00;60158,70;50073,90;53489,80;63136,30;62079,00;62361,50;58951,40;68846,00;57266,40;70415,10;75662,10;72834,60;77008,90;76189,90;67058,70;88237,10;73669,70;92950,80;87012,20;76105,10;96820,70;93686,80;80983,70;79280,10;102172,00;79713,00;76099,50;89584,10;69114,80;83176,40;77245,50;64927,70;69624,90;90118,10;76300,60;89247,10;72909,00;79230,60;79184,40;64397,80;72868,40;89098,80;75998,90;82179,80;70709,90;87825,60;87171,60;83375,20;86920,30;93814,60;78414,30;79660,00;82170,90;79805,40;68689,20;72453,50
Exported marine products;14827,50;15181,80;20715,00;16945,70;18654,70;19186,60;22659,10;23933,00;28554,50;25114,40;23471,80;22340,80;17769,30;23419,50;25073,60;20348,40;24976,20;20717,80;22326,40;21387,20;23993,60;28846,50;23137,50;16646,80;20692,30;24149,50;23700,60;22843,60;17813,80;20784,90;22526,50;21281,90;27413,40;25344,80;26335,70;19701,60;18316,40;17410,00;20945,20;19000,30;20888,60;17773,50;21211,40;21300,90;24966,60;26097,30;20979,30;18890,30;17190,30;21430,60;27830,80;23590,30;23660,40;27526,40;20937,80;19319,20;22827,80;20941,40;24309,90;19892,20;20673,50;18871,00;19511,90;19548,80;21091,70;20663,40;20047,90;19889,30;23193,50;24596,70;18402,20;15591,90;14083,00;8451,90;16254,80;17119,50;21597,00;17151,30;13152,10;19372,80;23082,70;21902,80;18641,30;13997,10;18759,40;19689,30;18358,50;18121,00;24818,20;18997,90;18478,00;20821,80;21152,60;27656,80;21422,00;21697,30;22810,70;19364,10;21987,40;21441,30;28494,70;15741,10;23776,20;17545,20;24745,50;31914,90;20082,40;17402,90;18241,20;19872,30;26051,70;17844,80;24092,50;22814,90;19403,50;24124,90;33604,70;28438,50;23476,50;23778,10;17869,10;22425,20;28309,40;27944,00;28692,70;27049,00;22018,10;20648,00;27485,90;29289,50;28926,80;25222,80;24504,20;24045,50;29783,40;30219,80;34802,70;29824,90;23122,10;35085,50;34651,40;32244,50;28749,50;34637,40;25388,80;27936,50;35045,00;27867,50;33677,30;27020,80;22567,50;27004,90;36550,80;31442,80;34252,40;24042,90;29259,20;28839,00;23261,80;28330,30;34765,60;24662,20;28602,40;25322,40;32141,30;32515,40;27592,40;31254,70;29066,40;26651,80;28568,10;34854,00;28688,40;27076,10;27479,30
Exported salted and/or dried fish;2396,50;2559,90;3687,80;3163,10;3336,80;2700,80;2115,50;1754,30;2597,20;2836,70;3012,90;2753,80;2240,30;3055,50;4312,10;3277,00;3555,10;3001,30;2097,10;1648,80;2151,00;3312,90;3316,00;2676,20;2885,10;3162,70;3361,00;2843,10;2742,00;2391,10;2217,70;1471,10;2118,70;2849,50;3300,80;2643,90;2264,80;2496,10;3582,90;2825,40;3033,70;2521,80;2007,80;1370,40;2263,50;3460,40;2903,00;2715,70;2510,90;2671,80;4261,10;3523,90;3815,40;2768,00;2176,10;1210,50;2027,90;3110,00;3094,90;1961,50;2002,80;2626,00;3383,20;2576,40;2555,00;2093,70;1209,50;1008,50;1676,50;1982,20;2281,70;1643,80;1468,60;1226,80;1472,70;2556,20;2465,30;2061,90;1369,70;784,30;1337,80;2083,20;2113,30;1693,40;2227,20;2002,60;2578,10;2821,00;3707,70;2068,30;1425,80;1138,00;1565,90;2377,30;2612,30;2373,70;2016,00;2300,70;3681,60;3098,60;3159,60;2304,80;1970,40;945,80;1786,50;2876,50;2573,80;1986,00;2044,80;2157,40;5110,00;3099,50;3609,60;2383,10;1716,10;1248,80;2505,80;2764,10;2678,50;2183,50;2043,30;2298,00;3603,10;3680,80;3418,80;2618,20;2079,30;1046,70;1641,20;2198,40;2498,50;2107,30;2468,20;2164,60;4869,50;3989,80;3654,60;2898,70;1580,10;1149,00;2194,80;2084,50;2843,00;2901,00;2822,80;2156,70;4802,70;4006,10;3387,90;3057,70;1571,70;1719,30;1834,60;2126,20;2123,40;2242,80;2127,90;3077,60;3962,80;5108,70;3985,60;2222,40;1606,40;753,00;1544,00;2909,00;2457,30;2435,70;2752,10;2921,40;5224,40;5273,10;4446,80;3740,70;1921,60
Exported fresh fish;1602,30;1854,70;2198,80;1881,50;2213,30;2012,70;1579,80;2133,10;2814,10;1903,50;2706,10;2302,70;3604,20;3296,10;4052,70;3630,70;3917,10;3774,30;3111,20;2999,90;3330,40;5063,30;3698,20;3476,00;3939,60;3410,50;3395,80;4020,00;3776,60;4173,00;3279,10;3338,70;3932,60;5396,70;5372,20;4580,90;3718,90;3038,10;3431,60;3596,30;3815,00;3855,30;3715,40;3185,80;4694,80;4955,60;4402,80;3963,40;4441,00;3428,10;4313,80;3650,60;3542,80;4743,10;3627,40;4562,00;5289,40;5063,70;5854,20;4836,60;5240,30;4527,90;4078,40;3899,90;4841,90;4924,20;4021,20;4472,50;5346,30;5343,80;4507,00;4325,60;1907,70;1863,10;3300,30;3474,10;4328,40;3926,40;3691,80;4610,40;4771,50;5537,00;4471,60;4102,90;4582,00;4305,90;3830,40;4224,60;5361,70;4448,90;5298,00;4395,20;4556,60;6853,40;5813,10;6113,90;6815,00;4310,70;5243,30;5286,10;6910,40;4957,30;6694,00;4860,90;6152,00;8659,40;6288,30;4866,90;5581,70;4984,10;5089,50;4388,20;7189,20;7932,80;6001,70;6025,80;10544,00;8499,40;6735,30;7617,30;6503,90;6343,70;8154,60;6634,90;6449,30;7786,30;6876,80;6497,00;8074,70;7071,60;8366,60;7012,70;6932,10;5906,00;7238,10;5819,50;8988,40;6910,70;5935,30;7800,80;7947,90;7166,70;7551,90;9370,70;7985,20;5835,10;8004,10;5550,30;9393,10;6795,80;6010,90;5694,90;9881,50;7445,60;7663,80;7816,50;8763,90;7437,10;6379,50;7557,30;9074,10;7760,70;7054,60;5618,20;8338,30;9706,80;7449,90;7845,40;8041,70;7481,80;7716,60;8522,50;8972,60;7837,90;8306,10
Exported whole frozen fish;1811,60;2667,60;2458,20;2412,20;2146,20;3784,40;6845,80;7532,90;9999,20;4180,20;2328,20;2229,60;1744,50;3968,30;4107,30;3015,80;3989,60;4160,50;5329,20;7152,50;6541,70;4120,90;2171,40;1524,80;3910,30;4130,00;4648,80;2937,50;2237,10;3481,00;5152,70;8758,80;7960,40;4259,30;2099,20;1907,00;2893,20;3029,80;2877,90;2040,50;2892,60;1825,30;5275,80;9554,70;7393,90;4532,70;2192,00;2094,50;1479,80;2823,90;3566,90;2105,30;2430,90;3485,40;4241,10;5045,70;3515,20;2612,40;2800,80;1971,20;2183,20;1933,10;2551,80;2381,90;2880,80;2359,00;1968,80;4414,50;6209,40;4494,60;1797,20;1352,20;2565,70;760,10;2928,30;2127,50;3544,40;2117,30;1395,10;3397,60;6661,40;3969,10;2501,50;998,20;3213,00;2371,30;1840,50;1981,90;3486,50;2228,50;2081,30;5112,00;5901,80;4829,10;2895,80;2080,30;1843,40;1900,30;2472,30;1197,10;5381,50;1554,00;2197,90;4516,70;7068,10;4650,40;1828,70;1227,50;1614,40;1660,40;3175,30;1282,50;3035,40;3266,20;2324,20;4971,70;6947,20;3305,30;1515,70;1972,30;1470,90;2642,70;4173,20;3556,50;3239,80;4731,70;3178,40;4902,90;4999,10;4618,50;2862,80;2027,20;1728,50;1685,50;2577,00;1731,50;1315,10;2993,20;1897,40;5732,40;5649,30;5445,10;2210,90;1780,40;1962,20;2586,50;5092,10;2651,80;3373,00;3372,50;3359,60;4626,20;5336,30;5237,10;2168,80;1497,10;2501,80;2307,30;1281,20;1743,60;2557,70;2265,10;2354,60;4457,40;6739,80;4306,10;3048,40;2747,20;2553,50;2154,20;2409,70;2983,30;1637,00;1942,20;4927,80
Exported frozen fish fillets;4790,70;4118,30;4354,30;5169,10;4683,20;4355,80;5449,60;4491,00;5591,40;8723,30;9201,00;8889,50;6413,80;5086,50;5618,80;5105,20;5823,50;3976,50;4639,90;3694,70;6888,90;9982,60;9041,40;5513,00;6204,80;5529,00;5011,80;5902,20;4451,70;4322,50;3429,10;2532,90;5951,10;7976,60;9333,20;6912,30;5664,90;5821,50;6095,70;5381,70;4757,00;3609,40;4021,30;2525,60;4987,30;7775,20;8328,50;5704,10;4845,40;6534,80;7294,00;5399,80;4946,70;5516,30;4123,20;2984,20;4777,30;5340,10;6915,50;6171,30;5281,50;6270,60;6185,90;4658,60;5565,80;4492,00;4831,70;5328,40;4669,90;5933,40;6191,90;5437,30;3964,30;2228,40;4308,60;4726,30;5135,60;3788,10;3621,30;3187,00;4805,90;5095,00;4919,30;4066,30;5334,30;4393,40;5109,00;4275,00;5811,60;4009,30;4235,80;4459,80;4823,40;5713,70;5275,90;5682,30;7128,70;6261,30;6567,10;5641,50;7464,00;3435,00;7508,80;3563,30;4921,50;8203,30;4959,40;5461,70;5454,40;6300,10;8814,80;4831,10;5531,10;5524,00;5230,60;7392,10;7762,80;8256,90;5890,50;6079,50;4750,20;6881,10;8117,50;6337,70;5922,40;6670,30;5711,30;4823,60;6812,90;8183,90;7394,70;7972,50;7051,00;6626,40;7268,60;8698,80;8532,90;7319,10;4903,90;7906,20;7077,70;8249,50;8868,50;9573,70;7899,60;7074,70;8473,00;6398,50;7169,90;5906,50;4684,80;5532,50;7634,40;9257,80;7045,80;6794,70;9115,80;6831,30;6740,70;5707,80;7878,70;6559,90;6375,00;4852,50;7412,80;8868,00;7640,80;9215,70;9027,10;8435,30;7413,80;10251,50;6568,70;6638,60;8543,10
Exported frozen shrimp;689,20;792,10;860,30;949,30;968,80;1135,40;1480,70;1056,90;787,90;825,90;1100,10;660,60;877,00;806,10;808,80;882,20;1319,90;1088,80;1252,50;726,70;841,30;907,60;886,80;644,10;522,30;600,90;501,10;821,80;911,20;988,80;968,80;503,40;677,00;908,00;997,70;806,20;625,10;584,90;648,40;733,00;1042,00;1120,10;1300,40;590,00;1202,80;603,20;1153,80;1104,10;809,90;940,60;1655,80;1411,00;1379,00;1624,40;1465,20;1111,90;1008,90;939,90;989,60;896,00;1054,60;477,60;521,90;884,60;971,60;1081,50;1127,50;889,60;908,50;901,50;850,60;495,40;541,30;495,40;463,80;390,90;662,60;720,70;802,20;561,20;883,40;815,00;587,50;369,20;189,50;599,50;402,80;668,50;1020,10;1168,40;927,10;672,80;584,00;1376,50;874,80;1080,60;953,60;564,40;457,20;463,60;454,00;562,40;953,50;494,50;623,80;2123,80;801,60;591,90;637,10;1312,10;898,90;491,90;535,60;482,50;576,50;529,50;929,10;1114,40;767,30;791,30;454,30;391,20;642,20;652,50;813,00;719,70;620,30;615,90;722,40;750,70;931,30;356,50;655,30;526,60;556,10;379,30;964,50;765,90;1128,50;965,90;1513,50;689,60;1122,10;457,70;495,00;923,10;518,10;1091,60;1422,00;611,80;808,40;437,80;1223,60;518,70;853,10;394,20;414,50;872,00;1065,50;426,20;846,90;409,20;947,30;533,00;996,40;944,40;574,30;527,60;967,30;422,90;927,80;881,80;615,30;849,30;301,70
Exported fish meal;680,00;841,70;3276,80;45910,00;1446,70;1069,20;1265,50;2612,90;2211,20;1704,60;829,80;1128,50;1043,50;3855,10;3330,30;991,40;2167,20;1193,40;2253,30;1973,00;1580,30;2119,90;1241,00;542,40;360,60;4289,20;3935,20;2793,40;1146,60;1184,50;3769,90;2833,10;2523,70;1659,20;1901,00;227,50;1001,20;425,40;815,30;1995,70;1617,70;2269,70;2140,90;1298,10;1187,10;2224,30;264,40;674,10;1045,40;2833,80;2903,00;4677,30;3667,20;3675,60;1510,30;1584,00;3271,70;757,80;2069,20;1482,30;1664,90;800,10;779,20;2141,80;1257,80;1802,00;1257,90;768,70;1031,10;2157,50;740,20;264,40;1214,50;267,20;1799,00;1938,90;2421,70;1788,60;433,50;3094,50;1638,40;831,30;1528,00;952,20;816,90;2920,20;1627,70;1668,40;2272,60;2076,10;2169,80;2584,20;1560,90;2283,50;888,00;1847,70;807,90;1462,20;763,00;2184,20;1580,20;806,30;1640,40;1430,60;1667,20;1098,10;978,80;1186,90;872,20;1200,80;563,30;1086,30;1448,20;1055,40;1730,80;2276,60;2099,10;1471,80;2368,50;2102,30;261,90;1570,60;502,90;854,60;1399,00;945,60;1007,50;1105,50;1501,30;1996,60;3337,30;2157,20;1356,30;4170,50;2826,80;4926,50;3237,50;2294,70;2258,60;6086,70;2851,70;3561,40;1041,40;2778,60;1177,60;4684,30;3971,70;2404,20;4438,40;3200,30;2525,60;4004,40;2254,20;2532,40;5866,90;2398,20;2480,50;2167,30;401,70;2219,30;5283,70;1100,50;4367,70;3051,80;1086,30;1896,10;2006,40;3125,30;1831,40;1419,90;998,60;3254,00;3017,50;3028,20;377,20
Exported fish oil;687,30;288,50;836,70;591,90;405,90;878,70;1309,90;1418,30;1154,70;1533,20;1831,40;1141,60;718,80;1869,70;1116,00;990,50;1310,70;951,40;1506,10;1569,40;1002,90;1640,40;941,20;1019,30;1413,60;1587,90;1274,70;1080,00;647,70;2105,50;1298,70;678,00;2658,30;535,50;1796,30;1494,90;895,40;785,00;784,70;723,50;929,10;317,80;482,20;1039,90;1803,00;1002,50;412,50;1439,60;1165,50;951,80;1602,50;658,20;1187,70;776,30;740,30;458,60;1291,50;1350,40;1042,60;1091,60;2220,70;661,10;594,00;1360,80;786,50;1463,60;405,50;330,90;1535,80;1279,40;467,40;447,10;888,70;780,50;504,80;752,90;1026,00;1044,20;358,80;964,50;1096,40;1080,30;815,50;566,20;1130,00;1782,80;1374,30;635,30;583,40;451,80;581,80;804,30;646,70;1189,20;1397,10;677,00;1341,00;1240,90;632,60;588,70;650,30;292,60;743,80;521,90;762,10;2024,60;906,70;618,80;740,60;990,00;665,40;1354,00;976,70;631,10;565,70;463,40;1334,60;1380,30;2255,90;1722,20;1293,70;1010,80;678,80;607,20;668,20;593,10;718,60;456,60;1537,10;2537,50;1196,10;1494,70;3149,50;1753,30;2336,00;2233,20;1088,30;1791,10;2880,80;2890,90;4725,80;2445,00;1981,50;3117,50;771,80;3073,30;1400,10;3594,50;1291,30;755,20;1153,70;3182,80;5893,30;2345,90;6469,90;870,20;1650,30;3937,70;1227,70;3259,90;1720,20;1793,40;3409,30;4310,60;4011,50;1158,20;2770,30;2948,20;1434,80;1324,20;1284,40;1195,90;1148,30;1014,60;970,60
Exported other marine products;2169,80;2059,00;3042,00;2767,60;3453,80;3249,70;2612,40;2933,70;3398,80;3407,00;2462,50;3234,50;1127,20;1482,10;1727,70;2455,60;2893,00;2571,70;2137,10;1622,10;1657,20;1699,00;1841,60;1250,90;1456,00;1439,40;1572,20;2445,80;1900,90;2138,50;2410,40;1165,90;1591,60;1760,10;1535,30;1128,90;1253,00;1229,20;2708,80;1704,40;2801,50;2254,00;2267,70;1736,50;1434,30;1543,40;1322,20;1195,00;892,40;1245,90;2233,80;2164,10;2690,80;4937,40;3054,20;2362,40;1645,90;1767,30;1543,20;1481,90;1025,60;1574,50;1417,60;1644,70;2232,30;2447,50;5225,80;2676,30;1816,00;2504,40;1566,20;1626,10;1532,10;830,50;1477,30;1152,70;2012,80;1704,10;1479,70;2773,40;1887,90;2492,00;1704,60;1248,80;1266,70;1313,60;1595,70;1846,20;2574,70;2546,70;1758,40;1655,50;1513,30;3034,20;1664,90;1841,70;1905,10;1323,70;2170,30;2981,60;2894,70;1828,70;2067,40;1211,50;1764,20;2278,90;1745,10;1463,20;1296,00;1267,30;1734,70;1311,40;1766,80;1539,90;1258,00;1217,00;1482,10;1646,30;1264,80;1309,60;1090,80;1287,10;2437,20;5619,80;6782,20;2984,10;1826,00;1199,80;2197,30;1932,40;2339,70;2094,80;1163,30;1212,70;2111,40;2441,30;7021,50;4851,50;2537,60;2553,60;2690,70;2602,80;3130,30;4657,70;2274,80;1602,80;2783,30;2170,60;3201,80;3321,00;2452,80;1807,10;2493,00;1979,00;2060,70;2029,10;2204,60;2208,60;2202,70;2307,50;3418,80;2551,00;2487,50;1746,00;2012,40;2726,80;1645,10;2409,50;2458,50;2492,00;2592,70;2491,80;2282,20;2024,60;2131,20
Exported agricultural products;548,80;475,60;426,40;297,50;187,10;215,70;247,70;216,40;315,60;1093,30;810,50;1775,90;1034,40;784,70;552,60;416,80;260,60;282,70;339,80;293,90;446,30;1103,50;1228,60;918,20;1514,60;869,70;456,70;377,60;394,00;175,80;517,00;227,70;565,70;1003,00;1307,80;925,80;685,50;558,40;436,20;456,50;232,00;213,10;249,40;243,50;519,50;942,30;900,70;813,50;501,80;709,90;643,70;340,30;257,40;256,20;448,70;175,90;505,00;756,40;892,00;789,70;713,70;810,00;506,60;489,80;369,90;443,70;302,70;456,60;607,10;772,20;934,50;834,40;643,40;494,10;287,00;315,70;345,20;404,40;237,20;483,30;356,00;910,40;873,00;883,90;686,50;688,20;422,70;233,40;516,70;519,20;252,50;305,80;545,60;955,80;1304,90;883,70;640,60;326,40;308,60;450,60;311,60;213,90;286,90;284,50;505,10;720,20;1194,50;620,80;311,70;483,00;509,30;442,20;318,20;265,50;182,70;326,40;544,60;1007,40;871,30;741,60;655,40;1051,50;1115,90;595,70;715,20;449,20;360,10;453,50;556,90;1327,60;1115,70;690,50;935,30;514,20;869,10;635,40;465,40;388,50;286,20;820,80;698,60;894,20;922,20;1067,60;1454,90;682,40;760,20;336,50;494,90;405,90;784,10;673,50;1006,40;795,60;1003,70;439,60;712,70;956,60;926,50;536,20;542,30;307,00;416,90;518,10;852,30;989,30;1044,80;1027,20;786,70;719,00;808,70;529,10;434,30;588,10;807,90
